skillx_task_id,task_id,initial_schema_seed,official_result_status,official_missing_reason,source_url,sonnet45_no_skills_score,sonnet45_with_skills_score,sonnet45_self_generated_score
001,3d-scan-calc,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/3d-scan-calc,80,80,33.3
002,adaptive-cruise-control,environment-control,available,,https://www.skillsbench.ai/tasks/adaptive-cruise-control,0,0,0
003,azure-bgp-oscillation-route-leak,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/azure-bgp-oscillation-route-leak,0,0,0
004,citation-check,methodology-guardrail,available,,https://www.skillsbench.ai/tasks/citation-check,100,100,66.7
005,civ6-adjacency-optimizer,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/civ6-adjacency-optimizer,0,14.7,0
006,court-form-filling,artifact-generation,available,,https://www.skillsbench.ai/tasks/court-form-filling,20,20,33.3
007,dapt-intrusion-detection,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/dapt-intrusion-detection,0,80,0
008,data-to-d3,artifact-generation,available,,https://www.skillsbench.ai/tasks/data-to-d3,60,80,0
009,earthquake-phase-association,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/earthquake-phase-association,20,20,33.3
010,earthquake-plate-calculation,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/earthquake-plate-calculation,0,60,0
011,econ-detrending-correlation,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/econ-detrending-correlation,40,60,0
012,energy-ac-optimal-power-flow,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/energy-ac-optimal-power-flow,20,20,0
013,energy-market-pricing,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/energy-market-pricing,0,0,0
014,exceltable-in-ppt,artifact-generation,available,,https://www.skillsbench.ai/tasks/exceltable-in-ppt,60,80,0
015,exoplanet-detection-period,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/exoplanet-detection-period,0,0,33.3
016,financial-modeling-qa,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/financial-modeling-qa,0,0,0
017,find-topk-similiar-chemicals,engineering-composition,available,,https://www.skillsbench.ai/tasks/find-topk-similiar-chemicals,20,10,0
018,fix-build-agentops,engineering-composition,available,,https://www.skillsbench.ai/tasks/fix-build-agentops,0,0,0
019,fix-build-google-auto,engineering-composition,available,,https://www.skillsbench.ai/tasks/fix-build-google-auto,0,0,0
020,fix-druid-loophole-cve,engineering-composition,available,,https://www.skillsbench.ai/tasks/fix-druid-loophole-cve,20,80,33.3
021,fix-erlang-ssh-cve,engineering-composition,available,,https://www.skillsbench.ai/tasks/fix-erlang-ssh-cve,40,40,100
022,flink-query,engineering-composition,available,,https://www.skillsbench.ai/tasks/flink-query,0,0,0
023,flood-risk-analysis,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/flood-risk-analysis,0,0,0
024,gh-repo-analytics,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/gh-repo-analytics,0,0,0
025,glm-lake-mendota,environment-control,available,,https://www.skillsbench.ai/tasks/glm-lake-mendota,0,80,0
026,gravitational-wave-detection,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/gravitational-wave-detection,0,0,0
027,grid-dispatch-operator,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/grid-dispatch-operator,0,0,0
028,invoice-fraud-detection,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/invoice-fraud-detection,20,20,0
029,jpg-ocr-stat,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/jpg-ocr-stat,0,0,0
030,lab-unit-harmonization,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/lab-unit-harmonization,39.6,60.4,36.1
031,lake-warming-attribution,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/lake-warming-attribution,0,40,0
032,latex-formula-extraction,artifact-generation,available,,https://www.skillsbench.ai/tasks/latex-formula-extraction,0,0,0
033,mario-coin-counting,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/mario-coin-counting,0,80,0
034,mars-clouds-clustering,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/mars-clouds-clustering,40,100,66.7
035,multilingual-video-dubbing,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/multilingual-video-dubbing,40,100,66.7
036,offer-letter-generator,artifact-generation,available,,https://www.skillsbench.ai/tasks/offer-letter-generator,0,100,0
037,organize-messy-files,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/organize-messy-files,20,20,0
038,paper-anonymizer,artifact-generation,available,,https://www.skillsbench.ai/tasks/paper-anonymizer,0,0,0
039,parallel-tfidf-search,engineering-composition,available,,https://www.skillsbench.ai/tasks/parallel-tfidf-search,60,0,33.3
040,pddl-tpp-planning,environment-control,available,,https://www.skillsbench.ai/tasks/pddl-tpp-planning,0,0,0
041,pdf-excel-diff,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/pdf-excel-diff,80,40,33.3
042,pedestrian-traffic-counting,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/pedestrian-traffic-counting,0,0,0
