task_name,assignment_status,assigned_category,best_observed_category,best_score,best_reported_score,second_best_category,second_best_score,second_reported_score,margin_pp,assignment_confidence,tie_break_used,tie_break_reason,tie_candidate_schema_ids,tie_candidate_count,tie_candidate_semantic_scores,tie_candidate_score_range_pp,observed_schema_count,full_coverage,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,top3_spread_pp,assigned_score,assigned_reported_score
3d-scan-calc,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
adaptive-cruise-control,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
azure-bgp-oscillation-route-leak,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
citation-check,assigned,methodology-guardrail,analytic-pipeline,90.0,100.0,artifact-generation,90.0,100.0,0.0,low,True,semantic_prior,analytic-pipeline;artifact-generation;engineering-composition;environment-control;methodology-guardrail;orchestration-delegation;retrieval-heavy-synthesis,7,analytic-pipeline:0.0;artifact-generation:1.5;engineering-composition:0.0;environment-control:0.0;methodology-guardrail:7.5;orchestration-delegation:0.0;retrieval-heavy-synthesis:0.0,0.0,7,True,,,,,0.0,90.0,100.0
civ6-adjacency-optimizer,assigned,environment-control,environment-control,55.95,60.0,artifact-generation,55.4,60.0,0.55,low,True,score_preferred,environment-control;artifact-generation;engineering-composition,3,environment-control:1.5;artifact-generation:0.0;engineering-composition:2.0,3.95,7,True,,,,,3.95,55.95,60.0
court-form-filling,assigned,methodology-guardrail,analytic-pipeline,85.0,100.0,methodology-guardrail,85.0,100.0,0.0,low,True,semantic_prior,analytic-pipeline;methodology-guardrail;orchestration-delegation,3,analytic-pipeline:0.0;methodology-guardrail:2.5;orchestration-delegation:0.0,4.5,7,True,,,,,4.5,85.0,100.0
crystallographic-wyckoff-position-analysis,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
dapt-intrusion-detection,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
data-to-d3,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
dialogue-parser,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
dynamic-object-aware-egomotion,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
