batch_id,task_name,affected_pair_count,affected_pair_ids
batch-01,adaptive-cruise-control,7,adaptive-cruise-control__artifact-generation;adaptive-cruise-control__analytic-pipeline;adaptive-cruise-control__engineering-composition;adaptive-cruise-control__retrieval-heavy-synthesis;adaptive-cruise-control__environment-control;adaptive-cruise-control__methodology-guardrail;adaptive-cruise-control__orchestration-delegation
batch-01,earthquake-phase-association,7,earthquake-phase-association__artifact-generation;earthquake-phase-association__analytic-pipeline;earthquake-phase-association__engineering-composition;earthquake-phase-association__retrieval-heavy-synthesis;earthquake-phase-association__environment-control;earthquake-phase-association__methodology-guardrail;earthquake-phase-association__orchestration-delegation
batch-01,energy-ac-optimal-power-flow,7,energy-ac-optimal-power-flow__artifact-generation;energy-ac-optimal-power-flow__analytic-pipeline;energy-ac-optimal-power-flow__engineering-composition;energy-ac-optimal-power-flow__retrieval-heavy-synthesis;energy-ac-optimal-power-flow__environment-control;energy-ac-optimal-power-flow__methodology-guardrail;energy-ac-optimal-power-flow__orchestration-delegation
batch-01,data-to-d3,5,data-to-d3__artifact-generation;data-to-d3__analytic-pipeline;data-to-d3__engineering-composition;data-to-d3__retrieval-heavy-synthesis;data-to-d3__environment-control
batch-02,citation-check,7,citation-check__artifact-generation;citation-check__analytic-pipeline;citation-check__engineering-composition;citation-check__retrieval-heavy-synthesis;citation-check__environment-control;citation-check__methodology-guardrail;citation-check__orchestration-delegation
batch-02,energy-market-pricing,7,energy-market-pricing__artifact-generation;energy-market-pricing__analytic-pipeline;energy-market-pricing__engineering-composition;energy-market-pricing__retrieval-heavy-synthesis;energy-market-pricing__environment-control;energy-market-pricing__methodology-guardrail;energy-market-pricing__orchestration-delegation
batch-02,exceltable-in-ppt,6,exceltable-in-ppt__artifact-generation;exceltable-in-ppt__analytic-pipeline;exceltable-in-ppt__engineering-composition;exceltable-in-ppt__retrieval-heavy-synthesis;exceltable-in-ppt__environment-control;exceltable-in-ppt__orchestration-delegation
batch-02,fix-build-google-auto,5,fix-build-google-auto__engineering-composition;fix-build-google-auto__retrieval-heavy-synthesis;fix-build-google-auto__environment-control;fix-build-google-auto__methodology-guardrail;fix-build-google-auto__orchestration-delegation
batch-03,civ6-adjacency-optimizer,7,civ6-adjacency-optimizer__artifact-generation;civ6-adjacency-optimizer__analytic-pipeline;civ6-adjacency-optimizer__engineering-composition;civ6-adjacency-optimizer__retrieval-heavy-synthesis;civ6-adjacency-optimizer__environment-control;civ6-adjacency-optimizer__methodology-guardrail;civ6-adjacency-optimizer__orchestration-delegation
batch-03,exoplanet-detection-period,7,exoplanet-detection-period__artifact-generation;exoplanet-detection-period__analytic-pipeline;exoplanet-detection-period__engineering-composition;exoplanet-detection-period__retrieval-heavy-synthesis;exoplanet-detection-period__environment-control;exoplanet-detection-period__methodology-guardrail;exoplanet-detection-period__orchestration-delegation
batch-03,fix-druid-loophole-cve,7,fix-druid-loophole-cve__artifact-generation;fix-druid-loophole-cve__analytic-pipeline;fix-druid-loophole-cve__engineering-composition;fix-druid-loophole-cve__retrieval-heavy-synthesis;fix-druid-loophole-cve__environment-control;fix-druid-loophole-cve__methodology-guardrail;fix-druid-loophole-cve__orchestration-delegation
batch-03,azure-bgp-oscillation-route-leak,1,azure-bgp-oscillation-route-leak__artifact-generation
batch-04,court-form-filling,7,court-form-filling__artifact-generation;court-form-filling__analytic-pipeline;court-form-filling__engineering-composition;court-form-filling__retrieval-heavy-synthesis;court-form-filling__environment-control;court-form-filling__methodology-guardrail;court-form-filling__orchestration-delegation
batch-04,earthquake-plate-calculation,7,earthquake-plate-calculation__artifact-generation;earthquake-plate-calculation__analytic-pipeline;earthquake-plate-calculation__engineering-composition;earthquake-plate-calculation__retrieval-heavy-synthesis;earthquake-plate-calculation__environment-control;earthquake-plate-calculation__methodology-guardrail;earthquake-plate-calculation__orchestration-delegation
batch-04,financial-modeling-qa,7,financial-modeling-qa__artifact-generation;financial-modeling-qa__analytic-pipeline;financial-modeling-qa__engineering-composition;financial-modeling-qa__retrieval-heavy-synthesis;financial-modeling-qa__environment-control;financial-modeling-qa__methodology-guardrail;financial-modeling-qa__orchestration-delegation
batch-05,dapt-intrusion-detection,7,dapt-intrusion-detection__artifact-generation;dapt-intrusion-detection__analytic-pipeline;dapt-intrusion-detection__engineering-composition;dapt-intrusion-detection__retrieval-heavy-synthesis;dapt-intrusion-detection__environment-control;dapt-intrusion-detection__methodology-guardrail;dapt-intrusion-detection__orchestration-delegation
batch-05,econ-detrending-correlation,7,econ-detrending-correlation__artifact-generation;econ-detrending-correlation__analytic-pipeline;econ-detrending-correlation__engineering-composition;econ-detrending-correlation__retrieval-heavy-synthesis;econ-detrending-correlation__environment-control;econ-detrending-correlation__methodology-guardrail;econ-detrending-correlation__orchestration-delegation
batch-05,find-topk-similiar-chemicals,7,find-topk-similiar-chemicals__artifact-generation;find-topk-similiar-chemicals__analytic-pipeline;find-topk-similiar-chemicals__engineering-composition;find-topk-similiar-chemicals__retrieval-heavy-synthesis;find-topk-similiar-chemicals__environment-control;find-topk-similiar-chemicals__methodology-guardrail;find-topk-similiar-chemicals__orchestration-delegation
